"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 11 15:10:44 GMT 2024","Fri Oct 11 15:10:44 GMT 2024","4","","Tests","","","","Flaky Tests Which Sometimes Passes And Sometimes Fails","Just for demonstration purposes"
"failed","Fri Oct 11 15:10:38 GMT 2024","Fri Oct 11 15:10:42 GMT 2024","3726","","Tests","","","","Check Available Bike Count Matchec Between UI And API","Reads bike count for specific bike station from the API and UI
and checks that bike count matches between UI and API."
"failed","Fri Oct 11 15:10:42 GMT 2024","Fri Oct 11 15:10:44 GMT 2024","2521","","Tests","","","","Search Routes And Check Same Routes Can Be Found From UI And API","Search routes from API and UI with specific name and
check that results matches."
