"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 24 15:38:14 GMT 2024","Wed Apr 24 15:38:17 GMT 2024","3424","","Tests","","","","Search Routes And Check Same Routes Can Be Found From UI And API","Search routes from API and UI with specific name and
check that results matches."
"passed","Wed Apr 24 15:38:17 GMT 2024","Wed Apr 24 15:38:17 GMT 2024","3","","Tests","","","","Flaky Tests Which Sometimes Passes And Sometimes Fails","Just for demonstration purposes"
"passed","Wed Apr 24 15:37:59 GMT 2024","Wed Apr 24 15:38:14 GMT 2024","14817","","Tests","","","","Check Available Bike Count Matchec Between UI And API","Reads bike count for specific bike station from the API and UI
and checks that bike count matches between UI and API."
