"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 12 12:07:31 GMT 2024","Sat Oct 12 12:07:40 GMT 2024","8336","","Tests","","","","Check Available Bike Count Matchec Between UI And API","Reads bike count for specific bike station from the API and UI
and checks that bike count matches between UI and API."
"passed","Sat Oct 12 12:07:46 GMT 2024","Sat Oct 12 12:07:46 GMT 2024","3","","Tests","","","","Flaky Tests Which Sometimes Passes And Sometimes Fails","Just for demonstration purposes"
"failed","Sat Oct 12 12:07:40 GMT 2024","Sat Oct 12 12:07:46 GMT 2024","6569","","Tests","","","","Search Routes And Check Same Routes Can Be Found From UI And API","Search routes from API and UI with specific name and
check that results matches."
