"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 30 09:17:21 GMT 2024","Tue Apr 30 09:17:54 GMT 2024","32671","","Tests","","","","Check Available Bike Count Matchec Between UI And API","Reads bike count for specific bike station from the API and UI
and checks that bike count matches between UI and API."
"failed","Tue Apr 30 09:17:58 GMT 2024","Tue Apr 30 09:17:58 GMT 2024","4","","Tests","","","","Flaky Tests Which Sometimes Passes And Sometimes Fails","Just for demonstration purposes"
"passed","Tue Apr 30 09:17:54 GMT 2024","Tue Apr 30 09:17:58 GMT 2024","4296","","Tests","","","","Search Routes And Check Same Routes Can Be Found From UI And API","Search routes from API and UI with specific name and
check that results matches."
