"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"HSL","Essential_features","City_bikes","1","0","0","0","0"
"HSL","Essential_features","Routes","0","0","1","0","0"
"Random","demonstration","Flaky_test","1","0","0","0","0"
