"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 29 09:18:00 GMT 2024","Mon Apr 29 09:18:00 GMT 2024","4","","Tests","","","","Flaky Tests Which Sometimes Passes And Sometimes Fails","Just for demonstration purposes"
"passed","Mon Apr 29 09:17:57 GMT 2024","Mon Apr 29 09:18:00 GMT 2024","3695","","Tests","","","","Search Routes And Check Same Routes Can Be Found From UI And API","Search routes from API and UI with specific name and
check that results matches."
"failed","Mon Apr 29 09:17:28 GMT 2024","Mon Apr 29 09:17:57 GMT 2024","28475","","Tests","","","","Check Available Bike Count Matchec Between UI And API","Reads bike count for specific bike station from the API and UI
and checks that bike count matches between UI and API."
