"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 26 13:54:29 GMT 2024","Fri Apr 26 13:54:29 GMT 2024","4","","Tests","","","","Flaky Tests Which Sometimes Passes And Sometimes Fails","Just for demonstration purposes"
"passed","Fri Apr 26 13:54:14 GMT 2024","Fri Apr 26 13:54:26 GMT 2024","11569","","Tests","","","","Check Available Bike Count Matchec Between UI And API","Reads bike count for specific bike station from the API and UI
and checks that bike count matches between UI and API."
"passed","Fri Apr 26 13:54:26 GMT 2024","Fri Apr 26 13:54:29 GMT 2024","3682","","Tests","","","","Search Routes And Check Same Routes Can Be Found From UI And API","Search routes from API and UI with specific name and
check that results matches."
