"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 25 17:11:41 GMT 2024","Thu Apr 25 17:11:44 GMT 2024","2824","","Tests","","","","Search Routes And Check Same Routes Can Be Found From UI And API","Search routes from API and UI with specific name and
check that results matches."
"passed","Thu Apr 25 17:11:44 GMT 2024","Thu Apr 25 17:11:44 GMT 2024","4","","Tests","","","","Flaky Tests Which Sometimes Passes And Sometimes Fails","Just for demonstration purposes"
"passed","Thu Apr 25 17:11:29 GMT 2024","Thu Apr 25 17:11:41 GMT 2024","12351","","Tests","","","","Check Available Bike Count Matchec Between UI And API","Reads bike count for specific bike station from the API and UI
and checks that bike count matches between UI and API."
